Название,Артикул,Текущая_цена,История_цен
/ Брюки шелковые палаццо на резинке,160873600,1 646 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 123500}}, {""dt"": 1739059200, ""price"": {""RUB"": 128763}}, {""dt"": 1739664000, ""price"": {""RUB"": 130231}}, {""dt"": 1740268800, ""price"": {""RUB"": 126108}}, {""dt"": 1740873600, ""price"": {""RUB"": 120723}}, {""dt"": 1741478400, ""price"": {""RUB"": 128169}}, {""dt"": 1742083200, ""price"": {""RUB"": 129951}}, {""dt"": 1742688000, ""price"": {""RUB"": 131571}}, {""dt"": 1743292800, ""price"": {""RUB"": 121092}}, {""dt"": 1743897600, ""price"": {""RUB"": 130374}}, {""dt"": 1744502400, ""price"": {""RUB"": 159946}}, {""dt"": 1745107200, ""price"": {""RUB"": 152305}}]"
/ В рубчик кроп топ с вырезом,155336133,779 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 83433}}, {""dt"": 1739059200, ""price"": {""RUB"": 82550}}, {""dt"": 1739664000, ""price"": {""RUB"": 79722}}, {""dt"": 1740268800, ""price"": {""RUB"": 79180}}, {""dt"": 1740873600, ""price"": {""RUB"": 78514}}, {""dt"": 1741478400, ""price"": {""RUB"": 74578}}, {""dt"": 1742083200, ""price"": {""RUB"": 74528}}, {""dt"": 1742688000, ""price"": {""RUB"": 74363}}, {""dt"": 1743292800, ""price"": {""RUB"": 74165}}, {""dt"": 1743897600, ""price"": {""RUB"": 74200}}, {""dt"": 1744502400, ""price"": {""RUB"": 74171}}, {""dt"": 1745107200, ""price"": {""RUB"": 75128}}]"
/ Кеды женские белые летние дышащие,166573253,1 222 ₽,"[{""dt"": 1737244800, ""price"": {""RUB"": 110947}}, {""dt"": 1738454400, ""price"": {""RUB"": 104100}}, {""dt"": 1739059200, ""price"": {""RUB"": 93300}}, {""dt"": 1739664000, ""price"": {""RUB"": 112300}}, {""dt"": 1743292800, ""price"": {""RUB"": 114950}}]"
/ Кюлоты домашние с принтом зебра,110119235,1 528 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 136800}}, {""dt"": 1743292800, ""price"": {""RUB"": 134700}}]"
/ Костюм летний рубашка с шортами спортивный,154478273,1 834 ₽,"[{""dt"": 1739664000, ""price"": {""RUB"": 174000}}, {""dt"": 1740268800, ""price"": {""RUB"": 178600}}, {""dt"": 1743897600, ""price"": {""RUB"": 182400}}]"
/ Джинсы широкие багги трубы прямые,329377250,2 201 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 369400}}, {""dt"": 1743292800, ""price"": {""RUB"": 312333}}, {""dt"": 1743897600, ""price"": {""RUB"": 326167}}, {""dt"": 1744502400, ""price"": {""RUB"": 333719}}, {""dt"": 1745107200, ""price"": {""RUB"": 341040}}]"
/ Футболка хлопок однотонная,154671151,715 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 66609}}, {""dt"": 1739059200, ""price"": {""RUB"": 67909}}, {""dt"": 1739664000, ""price"": {""RUB"": 71266}}, {""dt"": 1740268800, ""price"": {""RUB"": 71906}}, {""dt"": 1740873600, ""price"": {""RUB"": 65857}}, {""dt"": 1741478400, ""price"": {""RUB"": 71118}}, {""dt"": 1742083200, ""price"": {""RUB"": 71614}}, {""dt"": 1742688000, ""price"": {""RUB"": 68735}}, {""dt"": 1743292800, ""price"": {""RUB"": 64627}}, {""dt"": 1743897600, ""price"": {""RUB"": 64854}}, {""dt"": 1744502400, ""price"": {""RUB"": 68145}}, {""dt"": 1745107200, ""price"": {""RUB"": 67979}}]"
/ Костюм летний с шортами,336828900,3 871 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 439167}}, {""dt"": 1742688000, ""price"": {""RUB"": 425767}}, {""dt"": 1743292800, ""price"": {""RUB"": 418577}}, {""dt"": 1743897600, ""price"": {""RUB"": 414972}}, {""dt"": 1744502400, ""price"": {""RUB"": 412781}}, {""dt"": 1745107200, ""price"": {""RUB"": 413489}}]"
/ Ветровка весенняя с капюшоном удлиненная,346611508,2 981 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 431225}}, {""dt"": 1742688000, ""price"": {""RUB"": 405341}}, {""dt"": 1743292800, ""price"": {""RUB"": 375617}}, {""dt"": 1743897600, ""price"": {""RUB"": 365291}}, {""dt"": 1744502400, ""price"": {""RUB"": 355287}}, {""dt"": 1745107200, ""price"": {""RUB"": 356143}}]"
/ Костюм летний с шортами,336827049,3 871 ₽,"[{""dt"": 1741478400, ""price"": {""RUB"": 441750}}, {""dt"": 1742083200, ""price"": {""RUB"": 430043}}, {""dt"": 1742688000, ""price"": {""RUB"": 444467}}, {""dt"": 1743292800, ""price"": {""RUB"": 425125}}, {""dt"": 1743897600, ""price"": {""RUB"": 415980}}, {""dt"": 1744502400, ""price"": {""RUB"": 416558}}, {""dt"": 1745107200, ""price"": {""RUB"": 410106}}]"
